Capability,LI evidence (backend/frontend),LI maturity,AGT equivalent,AGT status,Gap,Classification,UAE applicability,Priority
Leave register with monthly/yearly snapshots + reconciliation,"backend/leaves LeaveRegister* models + 6 register services; frontend leave-register","High","employee_leave_balances (flat per year)","Partial","No ledger/snapshot/reconciliation","AGT has a partial foundation only","Yes","P1"
Leave conflicts & splits,"backend/leaves leaveConflictService.js, leaveSplitService.js","Medium-High","None (overlap validation unverified)","Missing","","completely missing from AGT","Yes","P2"
On Duty (OD) workflow,"backend/leaves odController + autoODService + odTrailService; frontend ot-permissions","Medium-High","None","Missing","Field/site staff day-work tracking","completely missing from AGT","Yes","P2"
Compensatory leave (CCL),"backend/leaves cclController + CCLRequest model; frontend ccl","Medium","None","Missing","","completely missing from AGT","Yes","P3"
Short permissions,"frontend ot-permissions; leaves settings","Medium","Overtime records only","Partial","","AGT has a partial foundation only","Yes","P3"
Overtime engine (calc + payroll pay integration),"backend/overtime + payroll otPayService.js","High","Overtime CRUD + approvals (no pay link)","Partial","OT does not reach payroll (no payroll exists)","AGT has a partial foundation only","Yes","P1"
Allowances & deductions master with resolver,"backend/allowances-deductions + payroll allowanceDeductionResolverService.js","High","Salary component types (static master)","Partial","No rule-based resolution engine","AGT has a partial foundation only","Yes","P1"
Employee update requests with history,"backend/employee-updates; frontend employee-updates","Medium-High","Employee record edit (direct)","Partial","No self-service change-request workflow","AGT has a partial foundation only","Yes","P2"
Dynamic employee application forms,"backend/employee-applications","Medium","Recruitment onboarding (fixed)","Partial","","AGT has a partial foundation only","Yes","P3"
Promotions/transfers/increments/demotions,"backend/promotions-transfers","Medium-High","Salary revisions (partial)","Partial","No case workflow for movements","AGT has a partial foundation only","Yes","P1"
Resignation & last-working-date workflow,"backend/resignations; frontend resignations","Medium-High","EOS & clearance (cases + form)","Comparable","AGT EOS framework exists","AGT has an equivalent and it is comparable","Yes — verify UAE EOS calc","—"
Holiday groups & half-day holidays,"backend/holidays; frontend holidays","Medium","work_calendars (common master)","Comparable","Half-day/holiday-group concepts differ","AGT has an equivalent and it is comparable","Yes","—"
Assets & security gate,"backend/assets (Asset + AssetAssignment)","Medium","Asset/PPE issue reports only","Partial","No custody lifecycle UI","AGT backend exists but UI is missing","Yes","P2"
Groups/divisions/departments/designations,"backend/departments (division/designation controllers); frontend divisions, employee-groups","Medium","Departments/designations masters","Comparable","Divisions/groups extra levels","AGT has an equivalent and it is comparable","Yes — map to org levels","—"
Notifications + BullMQ workers + crons,"backend/notifications + Redis/BullMQ + cron jobs","Medium-High","Notifications engine + email queue + Edge Function scheduler","Stronger","AGT's queue/notification architecture is cleaner","AGT has an equivalent and it is stronger","—","—"
RBAC workspaces/permissions,"backend/workspaces, permissions","Medium","17 roles / 282 perms / RLS / scoped RPCs","Stronger","AGT RBAC+RLS is far stronger","AGT has an equivalent and it is stronger","—","—"
Official letters/PDFs,"frontend browser-generated PDFs","Low-Medium","Official-documents framework + Gotenberg + verification tokens","Stronger","Server-side verified outputs","AGT has an equivalent and it is stronger","—","—"
DMS with OCR/AI/review/apply,"none","—","55 action files, full pipeline","Stronger","LI has nothing comparable","AGT superior — preserve","—","—"
Mongo/Mongoose data layer + JWT auth,"backend stack","—","Supabase/Postgres/RLS","—","Do not port Mongo/Express/JWT patterns","dangerous or poor design that should not be carried forward","—","—"
