table,column_count,columns
cities,17,"id | city_code | name_en | name_ar | emirate_id | is_system | is_locked | is_active | sort_order | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason | country_id"
consultant_addresses,31,"id | consultant_id | address_type_code | country_id | emirate_id | city_id | area_zone_id | address_line_1 | address_line_2 | building_name | street_name | po_box | makani_number | latitude | longitude | is_primary | is_billing_address | is_shipping_address | notes | status_code | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason | is_active | is_locked | is_system | sort_order"
consultant_bank_details,16,"id | consultant_id | bank_id | bank_account_type_code | account_name | account_number | iban | swift_code | currency_id | is_primary | is_active | notes | created_at | created_by | updated_at | updated_by"
consultant_contacts,31,"id | consultant_id | contact_code | contact_name_en | contact_name_ar | designation | department | contact_type_code | email | mobile | phone | whatsapp | is_primary | is_authorized_signatory | is_decision_maker | is_finance_contact | is_operations_contact | preferred_communication_code | notes | status_code | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason | is_active | is_locked | is_system | sort_order"
consultant_documents,27,"id | consultant_id | document_type_code | document_name | document_number | issue_date | expiry_date | has_expiry | expiry_reminder_days | file_path | is_required | is_verified | verified_by | verified_at | notes | status_code | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason | is_active | is_locked | is_system | sort_order"
consultant_specializations,12,"id | specialization_code | name_en | name_ar | description | is_system | is_active | sort_order | created_at | created_by | updated_at | updated_by"
consultant_types,12,"id | type_code | name_en | name_ar | description | is_system | is_active | sort_order | created_at | created_by | updated_at | updated_by"
consultants,48,"id | consultant_code | consultant_name_en | consultant_name_ar | consultant_type_code | consultant_category_code | trn | trade_license_number | license_expiry_date | website_url | primary_email | primary_phone | primary_mobile | country_id | emirate_id | city_id | area_zone_id | address_line_1 | address_line_2 | po_box | makani_number | currency_id | payment_term_id | tax_type_id | icv_certificate_number | icv_score_percentage | icv_issue_date | icv_expiry_date | icv_company_type | icv_financial_year_end_date | icv_certification_body | icv_version | icv_status_code | icv_document_path | cicpa_registration_number | notes | status_code | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason | is_active | is_locked | is_system | sort_order"
cost_centers,22,"id | cost_center_code | cost_center_name_en | cost_center_name_ar | cost_center_type_code | parent_cost_center_id | owner_company_id | branch_id | description_en | description_ar | notes | is_system | is_locked | is_active | sort_order | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason"
countries,22,"id | country_code | iso3_code | name_en | name_ar | nationality_en | nationality_ar | phone_code | default_currency_code | is_gcc | is_uae | is_system | is_locked | is_active | sort_order | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason"
currencies,21,"id | currency_code | currency_name_en | currency_name_ar | symbol | decimal_places | is_base_currency | description_en | description_ar | notes | is_system | is_locked | is_active | sort_order | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason"
customer_categories,12,"id | category_code | name_en | name_ar | description | is_system | is_active | sort_order | created_at | created_by | updated_at | updated_by"
customer_statuses,12,"id | status_code | name_en | name_ar | description | is_system | is_active | sort_order | created_at | created_by | updated_at | updated_by"
departments,18,"id | department_code | department_name_en | department_name_ar | owner_company_id | branch_id | parent_department_id | cost_center_id | department_head_user_id | description | is_active | effective_from | effective_to | created_at | updated_at | created_by | updated_by | deleted_at"
designations,19,"id | designation_code | designation_name_en | designation_name_ar | owner_company_id | department_id | job_level | management_level | is_supervisor | is_authorized_signatory | has_approval_authority | is_safety_critical | description | is_active | created_at | updated_at | created_by | updated_by | deleted_at"
dms_ai_entity_match_candidates,25,"id | candidate_key | document_id | upload_session_id | ai_result_id | source_text_summary | match_signal | target_entity_type | target_entity_id | target_display_name | match_score | match_method | match_reason | ai_generated | status | review_queue_item_id | reviewed_by | reviewed_at | resolved_at | resolution_code | resolution_note | created_by | created_at | updated_at | deleted_at"
dms_ai_erp_apply_correction_proposals,30,"id | proposal_code | original_apply_run_id | original_apply_item_id | document_id | target_module | target_table | target_field | target_record_id | value_type | original_before_summary | original_applied_summary | current_value_summary | proposed_correction_summary | correction_value_json | correction_mode | status | conflict_status | conflict_reason | correction_apply_run_id | requested_by | confirmed_by | applied_by | created_at | confirmed_at | applied_at | cancelled_at | failed_at | updated_at | failure_reason"
dms_ai_erp_apply_items,23,"id | apply_run_id | source_type | source_id | source_field_code | target_table | target_field | target_record_id | target_display_label | current_value_summary | proposed_value_summary | applied_value_summary | value_type | confidence | status | skip_reason | failure_reason | requires_confirmation | confirmed | applied_at | applied_by | created_at | updated_at"
dms_ai_erp_apply_runs,20,"id | run_code | source_type | source_id | document_id | review_queue_item_id | status | target_module | target_table | target_record_id | requested_by | confirmed_by | started_at | completed_at | failed_at | cancelled_at | error_message | created_at | updated_at | deleted_at"
dms_ai_extraction_jobs,20,"id | upload_session_id | document_id | provider_config_id | job_type | provider | model | status | started_at | completed_at | duration_ms | error_message | retry_count | created_by | created_at | updated_at | file_id | run_source | input_text_hash | prompt_version"
dms_ai_extraction_results,24,"id | job_id | upload_session_id | document_id | suggested_document_type_id | classification_confidence | classification_score | extracted_fields_json | suggested_links_json | expiry_date_suggestion | raw_ocr_text | raw_response_json | reviewed_by | reviewed_at | review_action | created_at | file_id | result_type | ai_status | field_confidence_json | classification_reason | suggested_title | suggested_description | issue_date_suggestion"
dms_ai_job_attempts,16,"id | job_id | attempt_number | started_at | completed_at | status | duration_ms | error_code | safe_error_message | worker_id | usage_log_id | token_count_in | token_count_out | model_name | provider_code | cost_estimate"
dms_ai_job_queue,24,"id | job_type | job_status | priority | payload_json | idempotency_key | related_document_id | related_upload_session_id | related_ai_result_id | related_approve_run_id | attempt_count | max_attempts | locked_by | locked_at | run_after | started_at | completed_at | failed_at | last_error_code | last_error_message | safe_error_json | created_by | created_at | updated_at"
dms_ai_link_suggestions,13,"id | document_id | entity_type | entity_id | entity_name | confidence | reason | status | reviewed_by | reviewed_at | created_at | updated_at | deleted_at"
dms_ai_tag_suggestions,13,"id | document_id | tag_id | suggested_tag_name | confidence | reason | status | suggested_by_user_id | reviewed_by | reviewed_at | created_at | updated_at | deleted_at"
dms_ai_validation_findings,31,"id | finding_key | document_id | upload_session_id | ai_result_id | metadata_definition_id | field_code | finding_type | severity | status | source_module | rule_code | rule_label | rule_version | ai_generated | confidence | current_value_summary | ai_value_summary | expected_value_summary | reason_message | evidence_json | reviewed_by | reviewed_at | resolved_at | resolution_code | resolution_note | review_queue_item_id | created_by | created_at | updated_at | deleted_at"
dms_approve_runs,17,"id | upload_session_id | document_id | ai_result_id | run_key | status | stage | final_storage_bucket | final_storage_path | error_code | error_message | metadata_json | started_by | started_at | completed_at | created_at | updated_at"
dms_document_access_rules,10,"id | document_id | document_type_id | principal_type | principal_id | permission | granted | created_by | created_at | deleted_at"
dms_document_approvals,15,"id | document_id | workflow_id | step_id | action | actioned_by | actioned_at | comments | created_at | submitted_by | submitted_at | reason | is_current | updated_at | updated_by"
dms_document_categories,14,"id | category_code | name_en | name_ar | description | icon | sort_order | is_system | is_active | created_by | created_at | updated_by | updated_at | deleted_at"
dms_document_comments,8,"id | document_id | comment_text | created_by | created_at | updated_by | updated_at | deleted_at"
dms_document_content,10,"id | document_id | content_text | content_text_updated_at | content_text_source | content_text_sha256 | content_text_char_count | is_truncated | created_at | updated_at"
dms_document_content_chunks,26,"id | document_id | content_id | chunk_index | chunk_text | chunk_hash | content_hash | source_kind | language | page_start | page_end | token_estimate | char_count | embedding_status | embedding_provider | embedding_model | embedding | embedded_at | embedding_error_code | embedding_error_message | is_active | created_at | updated_at | created_by | updated_by | deleted_at"
dms_document_events,7,"id | document_id | event_type | description | performed_by | performed_at | metadata_json"
dms_document_files,28,"id | document_id | version_id | file_role | storage_bucket | storage_path | file_name | mime_type | file_size_bytes | sha256_hash | page_count | ocr_text | language | created_by | created_at | deleted_at | integrity_status | integrity_checked_at | integrity_error_message | ocr_status | ocr_provider | ocr_model | ocr_started_at | ocr_completed_at | ocr_error_message | ocr_confidence | ocr_page_count | ocr_language"
dms_document_links,11,"id | document_id | entity_type | entity_id | link_role | is_primary | linked_by | linked_at | notes | created_at | deleted_at"
dms_document_metadata_values,14,"id | document_id | definition_id | value_text | value_number | value_date | value_datetime | value_boolean | value_json | created_by | created_at | updated_by | updated_at | deleted_at"
dms_document_tags,4,"document_id | tag_id | created_by | created_at"
dms_document_types,23,"id | type_code | name_en | name_ar | description | category_id | requires_expiry_tracking | default_confidentiality | requires_approval | default_retention_days | ai_extraction_schema | allowed_entity_types | is_system | is_active | sort_order | created_by | created_at | updated_by | updated_at | deleted_at | ai_suggestions_generated_at | ai_suggestions_approved_at | is_renewable"
dms_document_versions,8,"id | document_id | version_number | version_label | change_notes | is_current | created_by | created_at"
dms_document_workflow_steps,10,"id | workflow_id | step_code | step_name | is_initial | is_final | requires_role | sort_order | is_active | created_at"
dms_document_workflows,12,"id | workflow_code | name_en | name_ar | description | document_type_id | is_active | created_by | created_at | updated_by | updated_at | deleted_at"
dms_documents,59,"id | document_no | legacy_document_code | migrated_from_table | title | description | document_type_id | category_id | status | confidentiality_level | owner_user_id | owning_company_id | owning_branch_id | issue_date | expiry_date | reminder_policy_id | current_version_id | ocr_status | ai_status | review_status | is_archived | archived_at | created_by | created_at | updated_by | updated_at | deleted_at | ocr_last_run_at | ocr_text_available | party_id | content_tsv | ai_summary | ai_summary_updated_at | ai_summary_model | ai_summary_status | ai_summary_error | ai_summary_input_char_count | ai_summary_input_truncated | completeness_score | missing_fields_json | ai_warnings_json | ai_risk_score | ai_risk_level | ai_risk_reasons_json | ai_risk_updated_at | summary_embedding | summary_embedding_model | summary_embedding_status | summary_embedding_updated_at | summary_embedding_error | summary_embedding_source | superseded_by_document_id | expiry_tracking_override | expiry_override_reason | expiry_override_by | expiry_override_at | approval_status | submitted_by | submitted_at"
dms_expiry_reminders,18,"id | document_id | reminder_days_before | reminder_date | status | sent_at | recipients_json | created_at | updated_at | notification_status | last_notification_at | retry_count | dismissed_by | dismissed_at | dismissal_reason | escalation_level | assigned_to | department_code"
dms_intake_review_values,14,"id | upload_session_id | field_scope | field_code | field_label | field_type | suggested_value_json | reviewed_value_json | confidence_score | confidence_label | source_snippet | review_status | created_at | updated_at"
dms_metadata_definitions,45,"id | document_type_id | field_code | field_label_en | field_label_ar | field_type | is_required | is_ai_extractable | ai_field_hint | options_json | validation_json | sort_order | is_active | created_by | created_at | updated_by | updated_at | deleted_at | field_group | field_section | show_in_review | show_in_detail | show_in_list | show_in_upload_review | is_searchable | is_filterable | is_unique | placeholder_en | placeholder_ar | help_text_en | help_text_ar | ai_possible_labels_en | ai_possible_labels_ar | ai_keywords | ai_negative_keywords | ai_expected_format | ai_example_values | ai_confidence_threshold | normalization_rule | review_required_if_missing | review_required_if_low_confidence | metadata_version | ai_rules_json | created_from_ai_suggestion | ai_suggestion_trigger_document_id"
dms_notification_queue,28,"id | document_id | reminder_id | renewal_request_id | notification_type | channel | status | recipient_user_id | recipient_email | subject | message | scheduled_for | sent_at | read_at | dismissed_at | delivery_attempts | last_error | metadata_json | created_at | updated_at | global_notification_id | global_email_queue_id | bridge_status | bridge_attempt_count | bridged_at | last_bridge_error | email_delivery_status | email_sent_at"
dms_notification_settings,15,"id | is_enabled | email_enabled | in_app_enabled | reminder_days_before | include_document_owner | include_document_creator | recipient_roles | recipient_user_ids | config_name | notes | created_by | updated_by | created_at | updated_at"
dms_party_document_migration_map,7,"id | party_document_id | dms_document_id | party_id | legacy_document_code | migrated_at | migration_notes"
dms_renewal_requests,21,"id | document_id | renewal_no | status | priority | requested_by | assigned_to | requested_at | target_renewal_date | old_expiry_date | new_expiry_date | replacement_document_id | replacement_version_id | notes | completed_at | cancelled_at | created_by | created_at | updated_by | updated_at | deleted_at"
dms_required_document_rules,23,"id | rule_code | rule_name | entity_type | entity_subtype | document_type_id | is_required | requires_expiry_date | requires_issue_date | blocks_activation | reminder_days_before_expiry | owner_company_id | branch_id | department_id | effective_from | effective_to | notes | is_active | created_at | updated_at | created_by | updated_by | deleted_at"
dms_retention_policies,14,"id | policy_code | name_en | name_ar | description | retain_for_days | action_on_expiry | applies_to_types | is_active | created_by | created_at | updated_by | updated_at | deleted_at"
dms_review_queue,36,"id | upload_session_id | document_id | assigned_to | priority | status | queued_at | review_started_at | review_completed_at | notes | created_by | created_at | updated_at | deleted_at | idempotency_key | review_type | source_type | source_id | ai_result_id | ai_job_id | metadata_definition_id | field_code | reason_code | reason_message | confidence | payload_json | assigned_at | reviewed_by | reviewed_at | resolved_at | resolution_code | resolution_note | due_at | updated_by | validation_finding_id | entity_match_candidate_id"
dms_saved_searches,8,"id | user_id | search_name | filter_json | is_shared | created_at | updated_at | deleted_at"
dms_tags,11,"id | tag_code | tag_name | color_hex | is_system | is_active | created_by | created_at | updated_by | updated_at | deleted_at"
dms_upload_batches,13,"id | batch_code | status | total_files | processed_files | approved_files | failed_files | entity_type | entity_id | created_by | created_at | updated_at | deleted_at"
dms_upload_sessions,41,"id | session_code | status | original_filename | mime_type | file_size_bytes | sha256_hash | temp_storage_path | is_duplicate | duplicate_document_id | uploaded_by | uploaded_at | expires_at | completed_at | error_message | created_at | updated_at | deleted_at | temp_cleaned_at | cleanup_error_message | document_id | ai_job_id | ai_result_id | intake_status | review_status | review_started_at | review_completed_at | reviewed_by | discarded_at | discard_reason | batch_id | orchestration_status | orchestration_steps_json | orchestration_started_at | orchestration_completed_at | approve_run_id | approve_status | approve_error | approved_at | orchestration_source | orchestration_triggered_by_approve_run_id"
dms_workflow_document_types,3,"workflow_id | document_type_id | created_at"
emirates,19,"id | emirate_code | name_en | name_ar | abbreviation_en | abbreviation_ar | is_system | is_locked | is_active | sort_order | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason | country_id | region_type_code"
employee_access_cards,19,"id | employee_id | access_type_id | client_authority | work_site_id | card_number | application_reference | issue_date | expiry_date | status | renewal_status | dms_document_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_accommodation_records,15,"id | employee_id | accommodation_type | accommodation_location | room_or_bed_no | assigned_from | assigned_to | status | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_approval_requests,23,"id | employee_id | approval_type | request_title | request_status | approval_role_id | requested_by | requested_at | approved_by | approved_at | rejected_by | rejected_at | cancelled_by | cancelled_at | decision_reason | related_record_type | related_record_id | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_assets,19,"id | employee_id | asset_type | asset_reference | asset_description | issued_date | return_due_date | returned_date | status | condition_on_issue | condition_on_return | dms_document_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_assignments,20,"id | employee_id | owner_company_id | branch_id | department_id | designation_id | work_site_id | assignment_type | assignment_status | effective_from | effective_to | reporting_manager_id | supervisor_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_attendance_corrections,8,"id | summary_id | employee_id | correction_reason | old_values_json | new_values_json | corrected_by | created_at"
employee_attendance_daily_summary,20,"id | employee_id | attendance_date | attendance_type | work_site_id | first_in_at | last_out_at | total_hours | overtime_hours | late_minutes | early_out_minutes | is_missing_punch | approval_status | approved_by | approved_at | notes | created_at | updated_at | created_by | updated_by"
employee_attendance_punches,11,"id | employee_id | punch_datetime | punch_type | work_site_id | punch_source | device_reference | external_reference | notes | created_at | created_by"
employee_clearance_items,16,"id | eos_case_id | employee_id | clearance_area | item_title | item_status | responsible_user_id | cleared_by | cleared_at | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_dependents,28,"id | employee_id | dependent_name_en | dependent_name_ar | relationship_type_id | date_of_birth | nationality_id | passport_number | emirates_id_number | residence_visa_number | residence_visa_expiry | is_covered_on_medical | medical_insurance_card | is_active | dms_document_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by | passport_expiry | emirates_id_expiry | medical_insurance_provider | medical_insurance_policy | medical_insurance_expiry | sponsored_by"
employee_disciplinary_records,22,"id | employee_id | disciplinary_type | incident_date | record_date | severity | subject | description | action_taken | status | issued_by | acknowledged_by_employee | acknowledged_at | dms_document_id | creates_operational_block | operational_block_id | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_document_links,11,"id | employee_id | dms_document_id | related_record_type | related_record_id | relation_purpose | verification_status | created_at | created_by | deleted_at | deleted_by"
employee_eos_cases,17,"id | employee_id | eos_type | case_status | notice_date | last_working_date | reason | final_settlement_status | clearance_completed | dms_document_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_hr_actions,20,"id | employee_id | action_type | action_title | action_status | action_date | due_date | assigned_to | related_record_type | related_record_id | dms_document_id | requires_approval | approval_request_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_hr_notes,11,"id | employee_id | note_type | note_text | visibility | related_record_type | related_record_id | created_at | created_by | deleted_at | deleted_by"
employee_identity_documents,33,"id | employee_id | document_type_id | document_number | issue_date | expiry_date | issuing_authority | issue_country_id | issuing_emirate_id | status | verification_status | verified_by | verified_at | dms_document_id | renewal_status | emirates_id_application_no | visa_file_number | uid_number | labour_card_number | work_permit_number | mohre_person_code | profession_on_document | sponsor_company_id | place_of_issue | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by | issue_city_id | issuing_authority_party_id"
employee_leave_balances,12,"id | employee_id | leave_type_id | leave_year | entitled_days | used_days | balance_days | carry_forward | updated_at | created_at | created_by | updated_by"
employee_leave_requests,24,"id | employee_id | leave_type_id | request_date | start_date | end_date | total_days | reason | approval_status | approved_by | approved_at | rejected_by | rejected_at | cancelled_by | cancelled_at | sick_cert_dms_id | return_date | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_medical_insurances,25,"id | employee_id | insurance_provider | tpa | policy_number | insurance_card_number | network_class | effective_date | expiry_date | employee_covered | dependent_coverage_included | status | verification_status | dms_document_id | owner_company_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by | issue_date | dependent_count_covered | renewal_status"
employee_medical_records,22,"id | employee_id | medical_record_type_id | medical_center | report_number | examination_date | result | fit_for_work | work_restrictions | restriction_details | required_for_visa | required_for_site | required_for_noc | next_examination_date | dms_document_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_operational_blocks,19,"id | employee_id | block_type | block_reason | block_status | effective_from | effective_to | released_by | released_at | release_reason | related_record_type | related_record_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_overtime_records,15,"id | employee_id | overtime_date | hours | reason | approval_status | approved_by | approved_at | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_payroll_holds,14,"id | employee_id | hold_reason | hold_date | release_date | released_by | notes | is_active | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_payroll_profiles,13,"id | employee_id | payroll_group_id | effective_date | currency | payroll_status | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_performance_records,20,"id | employee_id | review_type | review_period_start | review_period_end | review_date | reviewer_id | rating | summary | strengths | improvement_areas | next_review_date | status | dms_document_id | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_ppe_issues,18,"id | employee_id | ppe_item | standard_or_size | quantity | issued_date | expiry_or_replacement_date | returned_date | status | issued_by | dms_document_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_pro_processes,21,"id | employee_id | process_type_id | process_title | process_status | priority | request_date | target_date | submitted_date | completed_date | assigned_to | related_document_id | related_record_type | related_record_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_recruitment_links,10,"id | employee_id | candidate_id | requisition_id | offer_id | converted_at | converted_by | conversion_notes | created_at | created_by"
employee_role_requirements,22,"id | employee_id | designation_id | requirement_type | requirement_source | required_reference_id | requirement_name | is_required | is_met | met_record_type | met_record_id | expiry_date | status | waived_by | waived_at | waiver_reason | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_salary_components,14,"id | employee_id | component_type_id | amount | effective_from | effective_to | is_active | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_salary_revisions,9,"id | employee_id | effective_date | revision_reason | old_gross | new_gross | approved_by | created_at | created_by"
employee_shift_assignments,16,"id | employee_id | work_calendar_id | work_shift_id | weekly_off_day | overtime_eligible | attendance_required | effective_from | effective_to | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_site_readiness,18,"id | employee_id | work_site_id | readiness_status | required_access_card_type_id | access_card_record_id | medical_record_id | training_record_ids | missing_requirements_json | checked_at | checked_by | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_status_events,8,"id | employee_id | old_status | new_status | reason | effective_date | created_at | created_by"
employee_training_certificates,21,"id | employee_id | training_category_id | training_type_id | provider | approval_body | certificate_number | completion_date | expiry_date | required_for_designation | required_for_site | status | verification_status | dms_document_id | notes | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employee_wps_profiles,20,"id | employee_id | wps_applicable | wps_status | bank_id | account_holder_name | account_number | iban | exchange_house | salary_payment_method | labour_card_number | mohre_person_code | mohre_establishment_id | salary_effective_date | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
employees,46,"id | employee_code | full_name_en | full_name_ar | known_name | gender | nationality_id | date_of_birth | marital_status | mobile_number | personal_email | uae_address | home_country_address | blood_group | photo_dms_document_id | owner_company_id | branch_id | department_id | designation_id | employee_category_id | employment_type_id | joining_date | actual_joining_date | employee_status | reporting_manager_id | supervisor_id | primary_work_site_id | sponsor_company_id | mohre_establishment_id | probation_start_date | probation_end_date | contract_type | contract_start_date | contract_end_date | notice_period_days | inactive_date | inactive_reason | emergency_contact_name | emergency_contact_mobile | emergency_contact_relationship_type_id | created_at | updated_at | created_by | updated_by | deleted_at | deleted_by"
erp_ai_assistant_action_drafts,12,"id | session_id | action_code | safety_class | target_entity_type | target_entity_id | draft_payload_json | status | created_at | reviewed_at | reviewed_by | deleted_at"
erp_ai_assistant_messages,7,"id | session_id | role | message_text | output_type | safe_metadata_json | created_at"
erp_ai_assistant_sessions,11,"id | session_code | title | owner_user_profile_id | context_entity_type | context_entity_id | status | message_count | created_at | updated_at | deleted_at"
erp_ai_audit_explanations,15,"id | source_type | source_id | entity_type | entity_id | scope | scope_start | scope_end | explanation_text | summary_json | model_name | prompt_version | created_by | created_at | deleted_at"
erp_ai_compliance_finding_events,6,"id | finding_id | event_type | event_data_json | actor_user_id | created_at"
erp_ai_compliance_findings,33,"id | finding_type | severity | detection_method | finding_key | entity_type | entity_id | document_id | source_rule_id | source_duplicate_candidate_id | source_field_suggestion_id | field_code | expected_value | actual_value | confidence_score | evidence_json | ai_reason | recommended_action | status | review_decision | review_notes | reviewed_by | reviewed_at | resolved_by | resolved_at | waived_by | waived_at | waiver_reason | created_at | created_by | updated_at | updated_by | deleted_at"
erp_ai_data_quality_finding_events,7,"id | finding_id | event_type | event_note | safe_metadata_json | created_by | created_at"
erp_ai_data_quality_findings,23,"id | finding_key | entity_type | entity_id | source_table | source_field | rule_code | rule_category | severity | status | title | description | recommendation | safe_evidence_json | detected_at | last_seen_at | resolved_at | resolved_by | reviewed_at | reviewed_by | created_at | updated_at | deleted_at"
erp_ai_duplicate_candidate_events,6,"id | candidate_id | event_type | event_data_json | actor_user_id | created_at"
erp_ai_duplicate_candidates,27,"id | candidate_type | detection_method | candidate_key | entity_type_a | entity_id_a | entity_type_b | entity_id_b | conflict_field | value_a | value_b | confidence_score | evidence_json | ai_reason | source_document_id | status | review_decision | review_notes | reviewed_by | reviewed_at | resolved_by | resolved_at | created_at | created_by | updated_at | updated_by | deleted_at"
erp_ai_feature_flags,10,"id | feature_code | feature_name | description | is_enabled | requires_human_review | min_confidence_threshold | notes | created_at | updated_at"
erp_ai_field_suggestion_events,6,"id | suggestion_id | event_type | event_data_json | actor_user_id | created_at"
erp_ai_field_suggestions,32,"id | entity_type | entity_id | target_table | target_field | field_label | field_type | current_value | suggested_value | suggested_value_json | suggestion_type | confidence_score | source_document_id | source_file_id | source_document_type | source_excerpt | ai_reason | status | accepted_by | accepted_at | rejected_by | rejected_at | applied_by | applied_at | apply_error | generation_batch_id | prompt_version | created_at | created_by | updated_at | updated_by | deleted_at"
erp_ai_model_cost_rates,17,"id | provider_type | model_id | display_name | rate_type | input_cost_per_1m_tokens | output_cost_per_1m_tokens | unit_cost | currency_code | effective_from | effective_to | is_active | requires_confirmation | source_note | created_by | created_at | updated_at"
erp_ai_provider_configs,25,"id | config_code | provider_type | provider_name | api_endpoint | model_id | api_version | purpose | is_default | is_enabled | is_active | requires_human_review | confidence_threshold | config_json | secret_ref | masked_secret_preview | last_test_status | last_test_at | last_test_message | notes | created_by | created_at | updated_by | updated_at | deleted_at"
erp_ai_recent_searches,8,"id | user_id | search_text | entity_types | search_mode | result_count | created_at | deleted_at"
erp_ai_risk_score_events,11,"id | risk_score_id | event_type | event_payload_json | prior_risk_score | prior_risk_level | new_risk_score | new_risk_level | actor_id | notes | created_at"
erp_ai_risk_scores,24,"id | entity_type | entity_id | risk_score | risk_level | risk_confidence | calculation_method | risk_reasons_json | risk_breakdown_json | source_counts_json | status | review_decision | review_notes | reviewed_by | reviewed_at | calculated_at | calculated_by | stale_at | stale_reason | created_at | created_by | updated_at | updated_by | deleted_at"
